	0
0	0.7477853
1	0.74588764
2	0.74976945
3	0.7656081
4	0.7378632
5	0.7262965
6	0.7348412
7	0.75947785
8	0.7412118
9	0.73769104
10	0.7469644
11	0.7266493
12	0.7200285
13	0.7377079
14	0.75091803
15	0.7397389
16	0.74334645
17	0.73980594
18	0.7392303
19	0.7466628
20	0.74742347
21	0.7456526
22	0.7452461
23	0.7482683
24	0.72847307
25	0.7481909
26	0.7487302
27	0.6876756
28	0.702059
29	0.70601714
30	0.69678974
31	0.69876903
32	0.7044343
33	0.69725084
34	0.68815976
35	0.68865633
36	0.7079025
37	0.69681424
38	0.7235162
39	0.700513
40	0.7047587
