gene	pvalue
TAGLN	2.598957632232597e-16
FAM38A	8.751094644367738e-16
EZR	1.2895678822631612e-15
ST7	1.5292849361636396e-15
PCIF1	2.0410103228551546e-15
C21orf70	3.069321665346044e-15
SAPS2	6.974173240580031e-15
ASAP2	7.226434810371398e-15
FMNL2	1.0268799160471717e-14
AHDC1	1.1756678512374644e-14
RERE	1.8617044868983068e-14
HIST1H2BI	2.074825794661217e-14
PMEPA1	2.57121076373924e-14
ZNRF2	2.6018878553423465e-14
ZFYVE21	2.875157971288891e-14
KDM6B	2.994748046633879e-14
SCG5	3.100799594550253e-14
E2F2	3.726315629502724e-14
UBE2O	4.8209009148256006e-14
RAI1	4.905950905849383e-14
AATK	5.3981390705637925e-14
LHFP	5.542989471422866e-14
SHPK	6.17257829374532e-14
TRPV1	6.17257829374532e-14
PBX2	6.181460721086641e-14
UBE2I	7.050176635549575e-14
C11orf92	7.585641100723822e-14
C11orf93	7.585641100723822e-14
MAD1L1	7.930769932557353e-14
POLR2A	8.192217015915358e-14
PHF1	8.33001091544884e-14
CHPF2	9.047508985884568e-14
HIST2H2BA	9.650502778952084e-14
ELF1	9.741462001987403e-14
PINX1	1.00032705245638e-13
VPS36	1.0483686889157956e-13
CPA1	1.0499604774222282e-13
ZNF662	1.0503547956022633e-13
C21orf2	1.0979067331858384e-13
TNRC18	1.1233429451118445e-13
C17orf70	1.248093529957687e-13
PLD6	1.2900048418438635e-13
WNT4	1.3352073042386572e-13
C9orf3	1.4402482586975445e-13
SULF2	1.6023761247981192e-13
CSNK1G2	1.6199736190349952e-13
RARRES1	1.638785280867016e-13
MED27	1.6580318094378768e-13
BCKDK	1.7421936925218227e-13
FOXK1	1.769719935243074e-13
GRHPR	1.8123517284944204e-13
PAPSS1	1.8614100249230634e-13
KLHDC5	2.2468425662314945e-13
MIR671	2.3609430747723333e-13
TCTN1	2.451362838705574e-13
DIP2C	2.66358211740113e-13
PLCE1	2.6772950384246667e-13
WDR27	2.7341840353658854e-13
HIP1R	2.8310088377661417e-13
TSC2	2.840425256893722e-13
SHC1	3.0782118739057727e-13
TUBA1C	3.090997172363747e-13
SPG7	3.7707729749657887e-13
EFNB1	3.780225921990335e-13
NR4A1	4.0491809988282684e-13
PTGDS	4.052096950387629e-13
NNAT	4.3644253876160847e-13
BLCAP	4.3644253876160847e-13
HIVEP3	4.4575302033733897e-13
MAFK	4.913230382996374e-13
INE1	5.241443608275605e-13
UBA1	5.241443608275605e-13
TRIO	5.483566749724923e-13
ZMIZ2	5.598978060569912e-13
CARTPT	5.629168014787369e-13
NPTN	5.870718794013699e-13
MOBKL2C	5.884518905571487e-13
MTRR	6.4269414007744e-13
MIR26B	6.448419113163981e-13
CTDSP1	6.448419113163981e-13
TTC25	6.481470063614747e-13
MYH10	7.082880705897103e-13
RILPL1	7.085412824448107e-13
CAPZB	7.313041098485305e-13
NKAPL	7.351554353541873e-13
MUS81	7.717263058165714e-13
ZBTB4	7.950450598900135e-13
MAGI2	8.862023282160217e-13
SERTAD4	8.884560380214482e-13
C1orf133	8.884560380214482e-13
TECR	8.93177293393934e-13
KIAA0100	9.07760025092698e-13
FLJ25006	9.07760025092698e-13
C19orf50	9.182412562697237e-13
REXO1	9.78734422399158e-13
ABCA3	9.887219544061736e-13
