	0
0	0.66036695
1	0.6585847
2	0.6592431
3	0.65215516
4	0.6594457
5	0.6659152
6	0.67174315
7	0.65852475
8	0.66011393
9	0.66515464
10	0.65143573
11	0.67803913
12	0.6723696
13	0.65837514
14	0.66018397
15	0.65854114
16	0.65644413
17	0.66207445
18	0.66196114
19	0.65617394
20	0.6617692
21	0.6568393
22	0.6635591
23	0.66192794
24	0.6663782
25	0.6651116
26	0.65729356
27	0.6735552
28	0.67830193
29	0.688363
30	0.6798875
31	0.68027747
32	0.67627335
33	0.66876936
34	0.67147624
35	0.6836184
36	0.6807885
37	0.6756571
38	0.6796004
39	0.67875004
40	0.67819
