	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
0	-4.742864	2.757295	-1.303732	-2.1626978	-0.48628834	-1.7688956	-1.8893261	-0.63104427	0.15565574	1.450296	-0.33744523	-3.2818465	-0.13441475	0.16023204	-1.3842474	3.0501897	-1.6506416	1.3080281	1.1536273	-1.9126567	0.68496674	1.0898355	0.38298774	2.5916467	0.07394552	-2.256466	-3.5981445
1	-4.486374	2.628139	-1.219306	-2.042195	-0.44537848	-1.6703047	-1.7880533	-0.58920825	0.14789683	1.4170737	-0.34044057	-3.120854	-0.103238165	0.13469711	-1.3257885	2.9131198	-1.577695	1.2410636	1.1177272	-1.8242878	0.6148557	1.0331175	0.35548547	2.4911873	0.0674598	-2.166811	-3.4344337
2	-4.7473116	2.7687466	-1.3108637	-2.1758964	-0.5048188	-1.7613742	-1.9116206	-0.62583405	0.15999737	1.4922882	-0.33760366	-3.3146749	-0.12712699	0.16638285	-1.3893267	3.0734537	-1.7029812	1.3037732	1.1568605	-1.9375284	0.69304484	1.0784374	0.40667024	2.5987728	0.050863385	-2.2819426	-3.6075077
3	-4.8180976	2.8544185	-1.3202792	-2.184291	-0.49558482	-1.7692826	-1.919834	-0.6183138	0.1740826	1.5522026	-0.35609797	-3.3542702	-0.15277024	0.1468331	-1.4332345	3.13357	-1.7053672	1.3284091	1.1938576	-1.9394599	0.6684847	1.0897031	0.39441928	2.6790962	0.05808711	-2.3346953	-3.6784706
4	-4.274487	2.4861662	-1.1845481	-1.9514433	-0.45404187	-1.6100525	-1.7030673	-0.5633285	0.15599704	1.3296489	-0.32493326	-2.962917	-0.12933265	0.14653091	-1.2183844	2.7572427	-1.4919906	1.2056781	1.0567153	-1.7517893	0.6096552	0.96411294	0.32686284	2.3370876	0.043617316	-2.0552135	-3.2405794
5	-4.7497277	2.7520287	-1.307266	-2.108656	-0.50479454	-1.7656604	-1.9081564	-0.61207587	0.16103518	1.4801241	-0.37100378	-3.2846897	-0.1700274	0.19129138	-1.3853182	3.0610766	-1.6931605	1.3285878	1.1770633	-1.9459409	0.6983782	1.0311729	0.36028454	2.5554652	0.064253435	-2.2561176	-3.5704067
6	-4.993666	2.9461982	-1.3628433	-2.2512848	-0.51831615	-1.8296168	-2.0068705	-0.65432024	0.17949754	1.6107821	-0.38004076	-3.4934227	-0.15979181	0.1628032	-1.4768488	3.2466462	-1.7827779	1.3951962	1.231443	-2.0205863	0.7092486	1.126389	0.40132663	2.7847836	0.027072316	-2.4456427	-3.8249898
7	-4.4530635	2.6410964	-1.1681528	-2.0837188	-0.45036533	-1.6223706	-1.7731389	-0.5794909	0.1715954	1.4693403	-0.3701962	-3.0911763	-0.1224951	0.08010827	-1.2415148	2.8268301	-1.5881839	1.2689646	1.1542925	-1.7707978	0.59507483	1.0351815	0.37718347	2.4724429	0.06712578	-2.1551414	-3.3471763
8	-4.760821	2.8077257	-1.3063675	-2.1465986	-0.44502237	-1.7921462	-1.8727305	-0.6232737	0.15875936	1.4932959	-0.35954937	-3.3160057	-0.12729004	0.15158652	-1.4153059	3.08854	-1.6641105	1.3314512	1.2224206	-1.9326924	0.66496307	1.0780363	0.35247627	2.6499636	0.09414938	-2.3009462	-3.6638627
9	-4.8842063	2.8437717	-1.3375585	-2.182041	-0.4874202	-1.8131953	-1.9472739	-0.6354243	0.16733295	1.5223075	-0.3634381	-3.3904047	-0.14487173	0.17829211	-1.4551096	3.1719244	-1.7301015	1.3509296	1.206458	-1.9892156	0.7033865	1.1001863	0.35929912	2.675377	0.06844363	-2.3540306	-3.7154496
10	-4.7831016	2.8058386	-1.2930822	-2.1553488	-0.49158084	-1.761064	-1.9026912	-0.61989444	0.1785211	1.5067259	-0.3569405	-3.3152752	-0.1743755	0.14938639	-1.4127425	3.0737755	-1.670557	1.3411963	1.1846586	-1.9151846	0.6703526	1.0861098	0.36277607	2.6394446	0.048474967	-2.311826	-3.6229842
11	-4.302536	2.5108402	-1.1616073	-1.9853132	-0.4467029	-1.6082712	-1.7343961	-0.5680967	0.15811428	1.3538305	-0.30835968	-3.0129256	-0.10222866	0.102600545	-1.263453	2.7808423	-1.4971963	1.2021815	1.0611866	-1.748529	0.58599174	0.98988175	0.33491296	2.375611	0.06764662	-2.0597837	-3.3043919
12	-4.624312	2.6579518	-1.2669438	-2.0948856	-0.47451526	-1.6898475	-1.8614422	-0.6004503	0.11525686	1.4328421	-0.357164	-3.1809583	-0.050352972	0.12697329	-1.3608068	2.9959388	-1.582801	1.2415954	1.0794848	-1.912196	0.62302554	1.0559584	0.37265554	2.4924088	0.073869325	-2.1892025	-3.5105057
13	-4.470373	2.6087167	-1.2229968	-2.0295088	-0.4721974	-1.660371	-1.7997686	-0.58483696	0.17100504	1.4163852	-0.33297122	-3.1111898	-0.13195343	0.12551388	-1.3115448	2.9099908	-1.5565057	1.2502823	1.0917338	-1.8178302	0.61255884	1.0104918	0.3323061	2.4739954	0.04846792	-2.1555724	-3.4271858
14	-4.3371854	2.527629	-1.1900151	-1.9582269	-0.49819642	-1.6110902	-1.7437307	-0.5781215	0.17929336	1.353102	-0.35308704	-2.9745226	-0.16192414	0.18349274	-1.1935955	2.745218	-1.540482	1.2200532	1.0682012	-1.7546973	0.6415709	0.9634626	0.34305283	2.3317533	-0.004960613	-2.0637689	-3.223995
15	-4.6791673	2.7204454	-1.317845	-2.1228461	-0.42984983	-1.728134	-1.8551457	-0.6295485	0.15508503	1.4769623	-0.40820387	-3.2759252	-0.1229617	0.14660221	-1.3347393	2.9535394	-1.6197169	1.36687	1.2071036	-1.9228333	0.6683684	1.0288385	0.35101905	2.5654883	0.06433733	-2.229388	-3.5815399
