	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0	-0.39697745	0.64214957	-1.6317434	0.72548497	0.78510827	-0.7634329	-1.2163795	1.8193936	1.1585411	-0.486213	-1.1378157	0.7084181	-1.7207997	0.6603086	-0.32130188	0.36128917	1.5697725	-1.2137063	2.9805775	3.4171386	0.9347725	0.3794464	0.8652845	0.9220808	-1.2589983	1.4518372	2.253623	0.24697328	-1.1976357	0.8843794	2.1528583	-1.5042696	-1.1239259	-1.2987027	-1.142297	-0.7572101	-0.9351089	-0.83693475	-1.1630543	3.082724	1.0032194	0.43955514	1.5564231	1.1874712	-0.58801603	-0.06692768	0.9714782	0.85491484	0.20675588	1.9723198
1	-0.39619136	0.57762754	-1.5540432	0.7015919	0.76241225	-0.7345065	-1.1929559	1.749319	1.1095903	-0.47771472	-1.0981077	0.7047447	-1.6554044	0.6435274	-0.3251037	0.35081333	1.5191016	-1.1950413	2.8643632	3.282699	0.90873927	0.35011286	0.85128355	0.9024148	-1.2156612	1.4188048	2.1641784	0.2295936	-1.1301769	0.8481036	2.0700898	-1.4389291	-1.075286	-1.2411133	-1.1427792	-0.7236174	-0.8933838	-0.8194441	-1.1183491	2.9517574	0.99295664	0.4167696	1.5115339	1.1535053	-0.5728884	-0.070071734	0.9512938	0.835727	0.21647382	1.8877722
2	-0.37882388	0.6312625	-1.6198314	0.7302191	0.7980895	-0.73461765	-1.2357552	1.847226	1.1782379	-0.49213102	-1.1449966	0.69446164	-1.7362857	0.64187205	-0.34082448	0.3508282	1.5865331	-1.2510958	2.9920864	3.4067073	0.91963494	0.39777794	0.91865665	0.94690585	-1.2765751	1.4682306	2.2654877	0.24447137	-1.2118841	0.8757831	2.194804	-1.530063	-1.1440125	-1.2864085	-1.1648593	-0.73429567	-0.9321283	-0.86690754	-1.1656342	3.0770454	1.014085	0.4238418	1.5471914	1.1850333	-0.5938443	-0.07475895	0.9726126	0.8775144	0.20823765	1.9965427
3	-0.41541404	0.62832725	-1.6719925	0.7615254	0.81386185	-0.75943947	-1.2706544	1.8795309	1.182646	-0.5376142	-1.165891	0.7301688	-1.7739266	0.6726422	-0.3542238	0.3508298	1.6222876	-1.2697338	3.0593874	3.4963682	0.9768485	0.3753488	0.939804	0.9696343	-1.3121878	1.4996262	2.3216884	0.23840936	-1.2077459	0.8873114	2.2213275	-1.5615991	-1.1434776	-1.3441995	-1.2029284	-0.7618064	-0.9671144	-0.8942998	-1.201664	3.1729414	1.054784	0.4432471	1.6099807	1.209175	-0.6293798	-0.096339926	1.0093381	0.8831826	0.23614714	2.0356104
4	-0.36753106	0.5616685	-1.4760664	0.6633907	0.71048063	-0.6975816	-1.0997306	1.6539667	1.0464386	-0.44681898	-1.0539484	0.6486541	-1.5684547	0.6066054	-0.2878536	0.3306344	1.4284356	-1.1167017	2.7020075	3.108523	0.863889	0.3362848	0.81648093	0.8487401	-1.1571376	1.3216351	2.0611062	0.22936225	-1.0819367	0.79093915	1.948729	-1.3751701	-1.0101836	-1.184058	-1.0690372	-0.6792959	-0.84378594	-0.77575594	-1.0673218	2.8076935	0.91048187	0.40105307	1.4345615	1.0830542	-0.55105007	-0.07871846	0.90496206	0.7813218	0.19345409	1.776321
5	-0.39896935	0.6267574	-1.6278261	0.7195286	0.78039366	-0.7722016	-1.2292286	1.8384973	1.1503799	-0.5129299	-1.1210445	0.70164824	-1.7529438	0.6893639	-0.34625673	0.35782227	1.5899259	-1.2238305	2.9959295	3.4372787	0.9590179	0.35533962	0.88296545	0.90797955	-1.2729042	1.4782672	2.240986	0.26746193	-1.2012019	0.8815808	2.149539	-1.4888288	-1.1257377	-1.3185451	-1.1710427	-0.7349311	-0.9293016	-0.8482406	-1.1589149	3.0622108	1.0270369	0.45558512	1.5522655	1.1940259	-0.6061488	-0.0906319	0.98672485	0.8177874	0.22880208	1.9773632
6	-0.43810025	0.66957045	-1.7660383	0.79723084	0.85745555	-0.78844905	-1.3193539	1.9718105	1.2436244	-0.54914063	-1.2150652	0.8068063	-1.8462048	0.7093904	-0.37066904	0.3876766	1.6922263	-1.3222326	3.1795328	3.6347723	1.0161496	0.37854788	0.93895483	1.0374848	-1.3191394	1.5487512	2.4192843	0.24687347	-1.2348483	0.9410032	2.3024576	-1.6289536	-1.1846861	-1.3998002	-1.2351887	-0.81740475	-1.0024321	-0.91140807	-1.2635634	3.3436086	1.0873193	0.4140653	1.6970518	1.2700665	-0.6337396	-0.07235774	1.0455856	0.9176565	0.25008637	2.1127498
7	-0.34262767	0.5922352	-1.5891134	0.6808288	0.7397318	-0.69434595	-1.1463754	1.7886316	1.092696	-0.47643667	-1.0754434	0.6682574	-1.6559563	0.58626044	-0.31871733	0.3648623	1.5575428	-1.2069058	2.8688986	3.238862	0.91267884	0.35169378	0.87271494	0.88266796	-1.1883434	1.3717625	2.151707	0.19792081	-1.0881929	0.85833573	2.0633824	-1.3826544	-1.0714664	-1.2560734	-1.1314362	-0.6984376	-0.8821191	-0.82098716	-1.0878934	2.949562	0.9677254	0.37435925	1.4922236	1.132504	-0.60347694	-0.08192142	0.9748093	0.83910197	0.18599099	1.8696926
8	-0.41460475	0.63264745	-1.6408296	0.75111574	0.8139002	-0.77264553	-1.2340311	1.8588885	1.1711142	-0.498068	-1.1825787	0.74755704	-1.7637076	0.68943036	-0.33813655	0.3879333	1.6137604	-1.2558813	3.0281782	3.4631116	0.95748174	0.37523514	0.9227842	0.96121067	-1.2743267	1.496609	2.302603	0.25063726	-1.2015332	0.89477634	2.1817586	-1.5366259	-1.127562	-1.3084153	-1.2065595	-0.7604386	-0.93499935	-0.8798557	-1.1982099	3.1502047	1.0324935	0.41697514	1.6170713	1.2280533	-0.61823374	-0.07684295	0.9959769	0.8771779	0.2292198	1.9972398
9	-0.42839932	0.64851797	-1.6923677	0.7700637	0.82154095	-0.7722577	-1.2577335	1.897724	1.1911945	-0.53199255	-1.172555	0.74783367	-1.8046659	0.6927774	-0.35025853	0.35534588	1.61817	-1.2795923	3.0753844	3.505686	0.9707947	0.36279532	0.94960856	0.97695804	-1.3127342	1.5021557	2.3370137	0.26772323	-1.2336841	0.8918318	2.2227032	-1.5620468	-1.1513537	-1.3564982	-1.2119247	-0.7581628	-0.96066946	-0.89355487	-1.2256037	3.1927357	1.0419706	0.41847387	1.6261562	1.2118554	-0.61714387	-0.100417495	1.0175594	0.8561816	0.23747659	2.0358098
