	0
0	0.83719826
1	0.83109725
2	0.8577734
3	0.8926964
4	0.8157993
5	0.7480495
6	0.78277504
7	0.8589175
8	0.83594596
9	0.80939823
10	0.85781944
11	0.654645
12	0.7005138
13	0.81897974
14	0.8475994
15	0.7853011
16	0.8498803
17	0.8157402
18	0.82577384
19	0.8513331
20	0.84868264
21	0.8354792
22	0.8090507
23	0.8181573
24	0.7164099
25	0.82961977
26	0.81255877
27	0.4716335
28	0.44606715
29	0.5256018
30	0.45004982
31	0.46091983
32	0.49336174
33	0.4917403
34	0.45189002
35	0.48026463
36	0.48561892
37	0.4558898
38	0.6571513
39	0.426933
40	0.48285416
