	0
0	0.9999547
1	0.99991596
2	0.9999794
3	0.99999404
4	0.99987483
5	0.9785204
6	0.99920785
7	0.99993193
8	0.99988854
9	0.9992027
10	0.99998915
11	0.48097172
12	0.93061006
13	0.9997996
14	0.99987185
15	0.999233
16	0.9999156
17	0.99968696
18	0.9999094
19	0.99997365
20	0.99989915
21	0.9998666
22	0.9985137
23	0.9998957
24	0.91116476
25	0.99975264
26	0.9995
27	0.004502386
28	0.002162695
29	0.013051659
30	0.002627641
31	0.0028427541
32	0.004083872
33	0.0056596696
34	0.0022337735
35	0.0047276914
36	0.009640068
37	0.0017275512
38	0.7311295
39	0.0014643669
40	0.002055794
