ID_REF	GSM1629293	GSM1629228	GSM1629312	GSM1629289	GSM1629259	GSM1629252	GSM1629280	GSM1629313	GSM1629223	GSM1629296	GSM1629201	GSM1629263	GSM1629273	GSM1629256	GSM1629267	GSM1629226	GSM1629208	GSM1629217	GSM1629194	GSM1629297	GSM1629271	GSM1629207	GSM1629307	GSM1629277	GSM1629213	GSM1629224	GSM1629234	GSM1629232	GSM1629274	GSM1629264	GSM1629250	GSM1629279	GSM1629225	GSM1629204	GSM1629294	GSM1629214	GSM1629231	GSM1629230	GSM1629211	GSM1629218	GSM1629222	GSM1629265	GSM1629227	GSM1629206	GSM1629197	GSM1629216	GSM1629286	GSM1629205	GSM1629304	GSM1629209	GSM1629300	GSM1629212	GSM1629242	GSM1629299	GSM1629287	GSM1629202	GSM1629249	GSM1629241	GSM1629305	GSM1629269	GSM1629270	GSM1629301	GSM1629258	GSM1629255	GSM1629275	GSM1629219	GSM1629248	GSM1629220	GSM1629310	GSM1629196	GSM1629253	GSM1629195	GSM1629251	GSM1629203	GSM1629243	GSM1629239	GSM1629237	GSM1629247	GSM1629309
cg13068653	0.9734836	0.9576793	0.9163755	0.9518215	0.9210723	0.8624306	0.9468006	0.9701886	0.956161	0.9169651	0.9582019	0.9539397	0.9431102	0.9453711	0.9128161	0.9499549	0.9553913	0.96944	0.9494768	0.9083389	0.9453664	0.9521848	0.9550675	0.9066345	0.9363136	0.8612415999999999	0.9450577	0.9726804	0.9419695	0.9420894	0.8987851	0.9623814	0.9430626	0.9687355	0.8331076999999999	0.9640642	0.9297019	0.9506106	0.9609829	0.8324544	0.9245067	0.9501225	0.9554951	0.9295478	0.9630457	0.9518003	0.9495732	0.953311	0.9641703	0.9314948	0.9465405	0.9190784	0.9490878	0.7624435	0.8921780999999999	0.7723854	0.740618	0.8957869	0.8574351999999998	0.6924111	0.8190354999999999	0.7409941999999999	0.8094087	0.7881130000000001	0.7232485	0.7299451	0.7818927	0.777777	0.7622098	0.7379583000000001	0.7966895	0.7508670999999999	0.6676058000000001	0.7070035	0.8237566999999999	0.8301398999999999	0.7887468000000001	0.7231831	0.6673108
cg11609668	0.9868804	0.9669860999999998	0.9743716	0.962368	0.9237361	0.9135727	0.9622279	0.9811789	0.9631454	0.962474	0.9800576	0.9611309	0.9707609	0.9760166	0.9320214	0.9573475	0.9605293	0.9850909	0.9651803	0.9488432	0.9788468	0.9681768	0.978717	0.8938019	0.9785063	0.9017136	0.9509729	0.9825264	0.9647032	0.9461969	0.962522	0.9852546	0.9566067	0.9895601	0.877194	0.9754255	0.9374283	0.9809434	0.9836128	0.8630275	0.9509138	0.9666802	0.9581175	0.959197	0.9713925	0.9735307	0.9808077	0.9754906	0.9797634	0.979142	0.9583439	0.9640131	0.9434304	0.7543849	0.8982495999999999	0.7702194	0.7391828	0.9134391	0.8981905000000001	0.7238136	0.8693075000000001	0.8051971	0.7811722	0.7951495	0.7728626999999999	0.764846	0.8069685000000001	0.7840754	0.7939198000000001	0.7565489000000001	0.8395914000000001	0.7638836999999999	0.7236316999999999	0.7539339	0.8308146999999999	0.8249877	0.8113639	0.739687	0.7298455
cg15286094	0.7485103	0.6602786	0.7283406	0.6780465	0.6053966	0.6026716	0.7278020000000001	0.7636059000000001	0.7159499	0.7022913000000001	0.4720642	0.5741479	0.7584271	0.5522144	0.5338448	0.7586156	0.6237223000000001	0.4447049	0.6320694	0.5881566	0.6911255000000001	0.7042879	0.7161579	0.6047816999999999	0.6553405999999999	0.671168	0.6948685	0.6860175000000001	0.5604606	0.6213558000000001	0.6665314999999999	0.7243696	0.6464871	0.7633181	0.5075881	0.6357477	0.6561563	0.6871349	0.5655912	0.5447758	0.643641	0.6441163000000001	0.6539944999999999	0.5730761	0.3512544	0.6748626999999999	0.6837850000000001	0.6832709	0.5903001	0.5919492	0.7234195	0.5522178000000001	0.6420300999999999	0.3499203	0.3030436	0.3047312	0.413234	0.4845862	0.4134137	0.3637737	0.4227908	0.3883612	0.3535436	0.3600296	0.3641448	0.4284038	0.3523026	0.3780896	0.365747	0.3097625	0.4182174	0.2780448	0.399116	0.3317324	0.3574837	0.4764763	0.3514653	0.4024467	0.3214836
cg00981651	0.8680469000000001	0.8060582	0.8547955	0.8282374	0.7011785	0.8728078000000001	0.8848308000000001	0.8696954	0.8700732	0.8513013	0.8518929000000001	0.8475029000000001	0.8293197	0.8328689	0.6601948000000001	0.8747290000000001	0.8455872999999999	0.7806643	0.8583636999999998	0.7864416	0.7957922	0.8026234999999999	0.8532614	0.7722772	0.7626988	0.8455805000000001	0.8552086	0.8933861999999999	0.6929356	0.7271460999999999	0.8774483000000001	0.8360136	0.8836513	0.7033885	0.6985998000000001	0.8453427	0.7862938	0.8158919	0.7919596999999999	0.7174798000000001	0.8129491999999999	0.7429785	0.8816601999999999	0.7459638000000001	0.8441168	0.8388027	0.8496087999999999	0.8015611999999999	0.7940560999999999	0.8359483	0.8096205	0.7391379	0.8957668	0.6380302	0.6764469	0.5935004	0.637836	0.7548375	0.6728105999999999	0.5616300000000001	0.6541973000000001	0.6347865	0.6835945	0.6559403	0.5761458	0.6355479	0.6694361999999999	0.6567463000000001	0.6380001000000001	0.6511689	0.7196531	0.6387394000000001	0.64017	0.6517149999999999	0.6496967	0.7445002	0.6129678000000001	0.5875104999999999	0.5555236
cg10441424	0.05086043	0.04722751	0.06816031	0.0815939	0.08118672	0.1217537	0.03736047	0.05707867	0.05659201	0.06059074	0.06107146	0.03345802	0.07285321	0.09166446	0.1230775	0.05705629	0.0867582	0.04838356	0.03637351	0.06504580000000001	0.1039451	0.08650333	0.06333341	0.1189895	0.09588537	0.1008282	0.03891919	0.01586962	0.1339529	0.04225801	0.04429157	0.06660207	0.02226824	0.04176209	0.11891	0.05402265	0.04272867	0.03571603	0.06800651	0.1013993	0.03948084	0.04167308	0.03560373	0.09631091	0.04613611	0.07118262	0.05531169	0.06261061	0.1248151	0.0768383	0.11024380000000003	0.09183118	0.03682712	0.1691147	0.1276203	0.1335324	0.140524	0.1096584	0.1461947	0.2548511	0.1353421	0.1911405	0.1120295	0.1734299	0.1812922	0.1683912	0.1301507	0.1506065	0.1560757	0.1708546	0.0943259	0.16355329999999998	0.16032000000000002	0.1574825	0.1817879	0.1088485	0.1375902	0.1447508	0.16179960000000002
cg10007534	0.5988939	0.9126208	0.94562	0.9204607	0.8669087999999999	0.8601566999999999	0.9448209	0.9345344	0.927195	0.8659399	0.9575194	0.895811	0.5094138	0.9585953000000002	0.8095574999999999	0.6392532	0.9673075	0.9856988	0.9667261	0.8659984000000001	0.6892107	0.9706879	0.9693996	0.8587540000000001	0.9482679	0.8797045	0.9406065	0.8297674999999999	0.9558727	0.4729746	0.9376574	0.973488	0.9297736	0.5385471	0.7538088000000001	0.9394469	0.9045175	0.9476879	0.9673917	0.7988818	0.9272453000000002	0.9270201	0.9307294	0.9270726	0.9658005	0.9725426	0.9702285	0.9513367	0.9429523	0.9625527	0.9334804	0.9375098	0.9370793	0.6064337	0.7102473000000001	0.6203161	0.5572242	0.7804182	0.6902923000000001	0.5374882	0.6379964	0.5802090999999999	0.6733637	0.5455076999999999	0.5320435	0.6407914000000001	0.6253982	0.6498901	0.5258399	0.4580986	0.5884399	0.5515845	0.4740922000000001	0.5768404	0.6726725	0.7296621	0.6533806	0.5239005	0.5113920999999999
cg05027258	0.8679916	0.8072534	0.8404459999999999	0.8298878000000001	0.7473181	0.8143355	0.8649853999999999	0.8780594	0.8050475	0.8350316999999999	0.8765414	0.8466769000000001	0.8970398999999999	0.8025879	0.6421171999999999	0.8514129	0.8368009	0.8624113000000001	0.8590369000000001	0.8366519	0.8292678	0.8484116	0.8823450999999999	0.7780233	0.8477898000000001	0.8432900999999999	0.8077974	0.8735216	0.8782697	0.7627295000000001	0.7413218	0.8651645	0.8266183000000001	0.8632907	0.7189805	0.8617715	0.8273735999999999	0.8710271999999999	0.8390249	0.710986	0.8636478999999999	0.815823	0.8708838	0.4736362	0.8665978999999999	0.8518687	0.8062948	0.8234292999999999	0.9057056999999998	0.8409733	0.8967816999999999	0.8393118	0.8118201	0.5795923000000001	0.739477	0.5994550999999999	0.6266751	0.6869286	0.6862627	0.5897365	0.7002053	0.6627006999999999	0.6019363	0.6114755000000001	0.592441	0.6249932	0.5252571999999999	0.617559	0.6578027	0.601572	0.6372621999999999	0.5924056999999999	0.4856279000000001	0.6157809	0.6107578	0.6176857	0.6538073	0.5646584	0.5283682
cg06261925	0.7767321999999999	0.7706710999999999	0.8166165	0.804553	0.758033	0.8085289999999999	0.8266401	0.7996739	0.7988485	0.7648575	0.8243348	0.7449909	0.7789857	0.7660581	0.7057536999999999	0.7573887	0.7720069	0.7881535	0.8296882999999999	0.7326596	0.7363433000000001	0.7582031	0.8427584000000001	0.7658256999999999	0.758258	0.7535364999999999	0.7990123	0.8073319999999999	0.7555705	0.7829378	0.7798839	0.8069373000000001	0.7828854000000001	0.6881556999999999	0.7311814	0.8108504	0.7208329000000001	0.7637341999999999	0.7388823	0.7000801	0.7407514000000001	0.7787576999999999	0.7933064000000001	0.6857319000000001	0.812811	0.7935883	0.817274	0.7732871	0.8027562	0.7727967	0.77828	0.7455401999999999	0.8406437	0.6567956	0.7358355	0.6181880999999999	0.6078849000000001	0.7379237	0.6932666999999999	0.5648675999999999	0.6994503000000001	0.6569989	0.6810944	0.6279137	0.5591206999999999	0.6032189	0.6325388000000001	0.6359570999999999	0.6176775999999999	0.5703239999999999	0.6428301	0.6385864	0.5528969	0.6167115	0.6827579	0.6796426	0.6794011999999999	0.5891831999999999	0.5633218000000001
cg12003026	0.3935083	0.378022	0.4656438	0.4987795999999999	0.3757643	0.6329774	0.5070865	0.2484013	0.5707684000000001	0.6666019	0.5093883	0.4215177	0.4578162	0.4174529000000001	0.4969711	0.4111443	0.4659006	0.7210258	0.5464076999999999	0.4124266	0.5141485	0.5777401	0.1423964	0.5024145000000001	0.4670167000000001	0.29808920000000005	0.3949096	0.3158983	0.4639247	0.4380814	0.5039195	0.5135323	0.5092481	0.4366053	0.4418767	0.515342	0.357425	0.4227547	0.5263734	0.4064737	0.395439	0.2026918	0.4202144	0.553653	0.5731066999999999	0.4745493	0.5619835	0.4676633	0.3735802	0.5366344	0.6208719	0.4115746	0.4181452000000001	0.2936758	0.2356638	0.24145970000000005	0.2647884	0.3072731	0.2601124	0.3113708	0.3690355	0.2840076	0.2430113	0.2663295	0.2669246	0.3722204	0.1913178	0.31500759999999994	0.2838665	0.2087327	0.3377452	0.28078459999999994	0.2891808	0.2459092	0.271139	0.3767526	0.2776517	0.25546729999999995	0.2177079
ch.20.1295406F	0.06986882	0.06168123	0.08108181	0.06063576	0.1125483	0.17266579999999998	0.04634185	0.02005339	0.0383365	0.09234581	0.06755567	0.05088495	0.09267304	0.06766061	0.2103141	0.1132384	0.08698798	0.08044934	0.09033812	0.08842234	0.08581623	0.08496413	0.07240407	0.07740557	0.05535989	0.04190724	0.05305142	0.02142981	0.08686123	0.06792659	0.05973246	0.07839463	0.0490696	0.0246463	0.2268387	0.06087541	0.1048648	0.01280707	0.05601749	0.1173458	0.05991036	0.03098509	0.033341699999999995	0.1199191	0.1073691	0.09510025	0.05961143	0.06581844	0.06602986	0.05495807	0.1239461	0.08439195	0.03989264	0.275592	0.2158758	0.2459782	0.304795	0.1381359	0.248678	0.31163470000000004	0.2832025	0.31284670000000003	0.2425647	0.3037379000000001	0.2800315	0.2455441	0.187021	0.2669723	0.28896170000000004	0.29949580000000003	0.1850644	0.3900433	0.3268567	0.3183131	0.2200778	0.1775322	0.2270234	0.2430745	0.33231009999999994
